Run,Time(ms),Memory(Bytes)
1,1017910.000,7168000
2,1019960.000,7135232
3,1024900.000,7180288
4,1020560.000,7077888
5,1020090.000,7106560
6,1017570.000,7168000
7,1025770.000,7176192
8,1019540.000,7102464
9,1007380.000,7122944
10,1028490.000,7168000

Statistics:
Average Time,1020217.000 ms
Max Time,1028490.000 ms
Average Memory,6.810 MB
Max Memory,6.848 MB
