Run,Time(ms),Memory(Bytes)
1,0.778,7122944
2,0.861,7168000
3,1.816,10891264
4,0.784,7163904
5,0.885,7086080
6,0.864,7151616
7,0.878,7118848
8,0.837,7204864
9,0.863,7122944
10,0.884,7151616

Statistics:
Average Time,0.945 ms
Max Time,1.816 ms
Average Memory,7.170 MB
Max Memory,10.387 MB
