Time(ms),Memory(Bytes)
0.199,6774784.0
0.190,7045120.0
0.190,6860800.0
0.193,6725632.0
0.198,6938624.0
0.191,6316032.0
0.190,6930432.0
0.190,6901760.0
0.193,6848512.0
0.191,7036928.0
0.191,6930432.0
0.193,6905856.0
0.195,6942720.0
0.198,6914048.0
0.193,7012352.0
0.190,6938624.0
0.198,6918144.0
0.193,6774784.0
0.191,7012352.0
0.211,6848512.0
0.193,6643712.0
0.192,6586368.0
0.190,6922240.0
0.190,6950912.0
0.209,6959104.0
0.319,6647808.0
0.192,6930432.0
0.199,6856704.0
0.191,6610944.0
0.198,7000064.0
0.192,6852608.0
0.225,6356992.0
0.197,6316032.0
0.200,6901760.0
0.194,6918144.0
0.205,7000064.0
0.190,6586368.0
0.192,6807552.0
0.197,6762496.0
0.191,6725632.0
0.190,6631424.0
0.233,6856704.0
0.191,7008256.0
0.206,7049216.0
0.191,6582272.0
0.195,7045120.0
0.205,6643712.0
0.191,7012352.0
0.192,7045120.0
0.190,6660096.0
0.190,7028736.0
0.192,7028736.0
0.191,6852608.0
0.192,6660096.0
0.198,6955008.0
0.201,6901760.0
0.196,6914048.0
0.198,6942720.0
0.191,6942720.0
0.191,6942720.0
0.192,6950912.0
0.195,7008256.0
0.250,6897664.0
0.190,6955008.0
0.195,6852608.0
0.195,7008256.0
0.191,6742016.0
0.206,6742016.0
0.193,6901760.0
0.199,6787072.0
0.198,6942720.0
0.190,6901760.0
0.189,6725632.0
0.193,6733824.0
0.192,7045120.0
0.193,6668288.0
0.192,6926336.0
0.198,7057408.0
0.193,6631424.0
0.191,6635520.0
0.190,6930432.0
0.191,6774784.0
0.192,7053312.0
0.196,6631424.0
0.191,6995968.0
0.190,6942720.0
0.198,6467584.0
0.196,6848512.0
0.199,6942720.0
0.193,6623232.0
0.192,6995968.0
0.190,6918144.0
0.262,512000.0
0.226,7000064.0
0.190,6729728.0
0.190,6991872.0
0.195,6582272.0
0.196,6582272.0
0.193,6762496.0
0.191,7000064.0
