Time(ms),Memory(Bytes)
205.610,7049216.0
209.224,7045120.0
208.151,6938624.0
84.739,6991872.0
83.690,6942720.0
208.702,6848512.0
210.603,7028736.0
83.079,6905856.0
84.747,7008256.0
211.073,7008256.0
